date_m,MKT,SMB,HML
2010-02,0.019196116811743488,0.009245857175216109,0.01740401074714947
2010-03,0.051713663941002144,0.03897320849489872,-0.01705392769473009
2010-04,-0.008143436377275872,0.02672051279657333,-0.019215086075469505
2010-05,-0.05784057959587545,-0.05829548854490337,0.007805179774581186
2010-06,0.0137197268652051,-0.030052435072340157,0.024487270418876373
2010-07,0.04526043275341253,0.019899580102221336,0.04444891345355172
2010-08,-0.027394408814274972,0.00045474658646813687,0.0055118159879026
2010-09,0.09199767440817276,0.017193790209994037,0.004239824948550658
2010-10,0.03633586986128237,0.01871293026334912,-0.037358209656714096
2010-11,-0.013044387980169474,0.03711900212345455,-0.013804141055515983
2010-12,-0.0036029184749749397,0.009883834465901048,0.025360303966682436
2011-01,0.00030974737704331755,-0.01582060010342416,0.07390746239057595
2011-02,-0.01884429679054764,-0.014603669268013632,-0.0172240273637912
2011-03,0.039949486829393255,-0.0025966688191600175,0.004903202131784225
2011-04,0.01141542030857891,0.00014268948070283657,-0.01496053671954552
2011-05,0.0009197471630815533,-0.008543336152231538,-0.012039464619565704
2011-06,-0.045159501445110516,-0.015577583609371143,-0.0194296457854278
2011-07,-0.00782255416283174,-0.005592590283717792,-0.0023564698503460834
2011-08,-0.09608983356094769,-0.027768860853103677,-0.0049126497526783
2011-09,-0.1697186414839835,-0.02884146694472864,-0.03744737886669203
2011-10,0.1478317812908285,0.019537844597659282,0.08968497673786383
2011-11,-0.0886731427218888,0.029550320038086116,-0.04453845152528722
2011-12,0.02495516973355201,-0.055257037088641894,0.030546865151581844
2012-01,0.10527853509440148,-0.04689027939788549,0.05991378335599767
2012-02,0.06330247878562932,0.04158891531466369,0.05876368130079289
2012-03,-0.06888677920843564,0.013080831908089736,-0.052693367007267414
2012-04,0.028278974366535547,-0.04270495562287817,0.021297685930243428
2012-05,-0.11143080430892549,0.03756665440308633,0.004047319033277319
2012-06,0.022776437022047305,-0.043767232704910786,0.01901083765288458
2012-07,0.009457044581713168,-0.039829087036948305,-0.013821222132880989
2012-08,-0.023968402084301146,0.03544730613460878,-0.01603405496137162
2012-09,0.06386169931761436,-0.010011783532371407,0.022179129060812333
2012-10,0.04935822830227372,0.01538498351563651,0.044146348261962925
2012-11,0.01770109862229457,0.02342922322393247,0.036938442230357985
2012-12,0.05033659932087709,0.016367219794204864,0.03613112718135844
2013-01,0.048208197456204964,0.01901505785537816,0.053582440424958
2013-02,-0.03372137754373279,0.03852853659454032,0.003130025348726414
2013-03,-0.038105160359748765,0.014243236823682389,-0.055165733055393684
2013-04,0.00931323830544946,-0.010978328821397014,-0.01678157925517576
2013-05,-0.011933101975946957,0.10055937592581003,-0.05621131365654823
2013-06,-0.07524015405476944,0.0008592656446776842,-0.017922774911468674
2013-07,0.036411188366932204,-0.01881418901321412,-0.022828457091325863
